[2024-10-31 11:42:09] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-10-31 11:42:09] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-10-31 11:42:09] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-10-31 11:42:09] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-10-31 11:42:09] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-10-31 11:42:09] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-10-31 11:42:10] [class-ss-setup-task.php:33] Creating archive directory: /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1730374929/
[2024-10-31 11:42:10] [class-ss-setup-task.php:72] Adding origin URL to queue: http://matrimony.local/
[2024-10-31 11:42:10] [class-ss-setup-task.php:124] Adding files from directory: /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6197_VSCO.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6197_VSCO.png
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/I-Used-To-Be-An-Adventurer-Like-You-Then-I-Took-An-Arrow-In-The-Knee-768x960.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/I-Used-To-Be-An-Adventurer-Like-You-Then-I-Took-An-Arrow-In-The-Knee-768x960.png
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-2-1536x864.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-2-1536x864.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Ornaments-712x1024.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Ornaments-712x1024.png
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6197_VSCO-768x1025.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6197_VSCO-768x1025.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6285_VSCO-300x200.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6285_VSCO-300x200.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image-300x300.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/Dari-Mana-Datangnya-Asmara-mp3-image-300x300.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-2-300x169.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-2-300x169.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-2-1024x576.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-2-1024x576.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Divider-2.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Divider-2.svg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Ornaments-768x1105.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/Ornaments-768x1105.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/I-Used-To-Be-An-Adventurer-Like-You-Then-I-Took-An-Arrow-In-The-Knee-150x150.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/I-Used-To-Be-An-Adventurer-Like-You-Then-I-Took-An-Arrow-In-The-Knee-150x150.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-1365x2048.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-1365x2048.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper.png
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8191-150x150.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8191-150x150.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6285_VSCO-1536x1024.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6285_VSCO-1536x1024.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8191-300x200.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8191-300x200.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-1-768x1152.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-1-768x1152.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-1365x2048.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-1365x2048.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6119-1-300x209.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6119-1-300x209.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-1-150x150.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-1-150x150.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8206-150x150.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8206-150x150.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Scroll-2.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/Scroll-2.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8206-768x1367.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8206-768x1367.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6197_VSCO-768x1025.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6197_VSCO-768x1025.png
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6285_VSCO-300x200.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6285_VSCO-300x200.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/de-Icha-et-Iki.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/de-Icha-et-Iki.svg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Divider-1.svg to queue as: http://matrimony.local/wp-content/uploads/2024/10/Divider-1.svg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-1-683x1024.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-1-683x1024.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6285_VSCO.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6285_VSCO.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Icha-194x300.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/Icha-194x300.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-e1728843062866-864x1536.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-e1728843062866-864x1536.png
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-1024x1536.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-1024x1536.jpg
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6119-1-e1730143065881-150x150.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6119-1-e1730143065881-150x150.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-1-scaled.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-1-scaled.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6119-1-e1730143065881-1536x909.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6119-1-e1730143065881-1536x909.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/deichaetiki-gif-1-300x168.gif to queue as: http://matrimony.local/wp-content/uploads/2024/10/deichaetiki-gif-1-300x168.gif
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6119-1-e1730143065881-300x178.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6119-1-e1730143065881-300x178.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-2.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-2.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Scroll-1-768x1061.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Scroll-1-768x1061.png
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_8206-169x300.webp to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_8206-169x300.webp
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/Paper-300x169.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/Paper-300x169.png
[2024-10-31 11:42:10] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/3-169x300.gif to queue as: http://matrimony.local/wp-content/uploads/2024/10/3-169x300.gif
