[2024-10-29 21:34:54] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-10-29 21:34:54] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-10-29 21:34:54] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-10-29 21:34:54] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-10-29 21:34:54] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-10-29 21:34:54] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-10-29 21:34:55] [class-ss-setup-task.php:33] Creating archive directory: /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/simply-static/temp-files/simply-static-1-1730237694/
[2024-10-29 21:34:55] [class-ss-setup-task.php:72] Adding origin URL to queue: http://matrimony.local/
[2024-10-29 21:34:55] [class-ss-setup-task.php:124] Adding files from directory: /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads
[2024-10-29 21:34:55] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_6197_VSCO.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_6197_VSCO.png
[2024-10-29 21:34:55] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/I-Used-To-Be-An-Adventurer-Like-You-Then-I-Took-An-Arrow-In-The-Knee-768x960.png to queue as: http://matrimony.local/wp-content/uploads/2024/10/I-Used-To-Be-An-Adventurer-Like-You-Then-I-Took-An-Arrow-In-The-Knee-768x960.png
[2024-10-29 21:34:55] [class-ss-setup-task.php:129] Adding file /Users/rifqimuhammad/Local Sites/matrimony/app/public/wp-content/uploads/2024/10/IMG_0758Artboard-2-1536x864.jpg to queue as: http://matrimony.local/wp-content/uploads/2024/10/IMG_0758Artboard-2-1536x864.jpg
